text,topic,set,label,MACE-P,stance_WA,stance_WA_conf
"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",We should abandon marriage,train,0.846164614,0.297659077,1,1
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,We should adopt a multi-party system,train,0.89127054,0.726133019,-1,1
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,train,0.730395151,0.225211679,-1,1
"100% agree, should they do that, it would be a good thing",We should abolish safe spaces,train,0.236685682,0.004103873,1,0.805516663
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,We should ban naturopathy,train,0.753805285,0.337723646,1,1
"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",Surrogacy should be banned,train,1,0.96366698,-1,1
"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",Surrogacy should be banned,train,0.467092243,0.041720721,-1,0.907112837
a ban would only increase the already concerning trend to go to dangerous surgeons abroad,We should ban cosmetic surgery,train,0.981811806,0.971312317,-1,1
"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",We should abolish capital punishment,train,1,0.992866894,-1,0.928446736
"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",We should ban cosmetic surgery for minors,train,0.951107043,0.939252944,-1,0.928336814
"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",We should ban cosmetic surgery for minors,train,0.901065136,0.972616324,-1,0.607460362
a child is a gift and should be cherished for whatever sex they are,We should legalize sex selection,train,0.478142994,0.001903521,-1,1
"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",We should ban cosmetic surgery for minors,train,1,0.714954857,1,1
a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,We should ban cosmetic surgery for minors,train,1,0.998986628,1,1
a child's value should not be based upon their sex.  they are human no matter what.,We should legalize sex selection,train,0.65275696,0.015381622,-1,1
a city is the best place for people to have what they need near by,We should fight urbanization,train,0.683461552,0.161095644,-1,1
"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",We should oppose collectivism,train,0.885476553,0.957329342,-1,0.891702047
a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,We should subsidize student loans,train,0.82029628,0.645738584,-1,0.928227697
"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",We should subsidize student loans,train,0.88595647,0.938525563,1,1
a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,We should limit executive compensation,train,0.910804935,0.753564682,-1,1
a company can pay higher to their employees if executive compensation is limited,We should limit executive compensation,train,0.543411559,0.015683626,1,0.905081432
a company has the right to determine how much executive compensation that they can pay out.,We should limit executive compensation,train,0.629429628,0.135287585,-1,0.901445921
a company should be able to decide on their own how much they want to pay any of their employees,We should limit executive compensation,train,0.881836684,0.969036661,-1,1
a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,We should limit executive compensation,train,0.798560865,0.410583207,-1,0.770239503
a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,train,0.639372799,0.009431057,1,1
a consumer doesn't know what's really in natural remedies since there is no regulation,We should ban naturopathy,train,1,0.916790048,1,1
a cosmetic procedure may be necessary for a horribly scarred child.,We should ban cosmetic surgery for minors,train,0.808176407,0.684453944,-1,1
A country is entitled to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,train,0.693320965,0.807195588,-1,1
a country should have the right to defend itself in whatever way it sees fit even if they do not intend to use nuclear weapons.,We should fight for the abolition of nuclear weapons,train,0.867678521,0.757894899,-1,1
A country with a diverse population is better represented by a multi-party system.,We should adopt a multi-party system,train,0.867024447,0.999748492,1,1
"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",We should abandon marriage,train,0.729708699,0.180185489,1,1
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should be a criminal offence,train,0.830767585,0.603442273,1,1
"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",We should legalize organ trade,train,1,0.928966338,1,1
a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,We should ban naturopathy,train,0.786455429,0.359889845,1,1
a father figure that takes an active role in their child's life has a positive effect on the child,We should subsidize stay-at-home dads,train,0.572805817,0.082785548,1,0.610690889
"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",We should subsidize stay-at-home dads,train,1,0.972989384,-1,0.601570978
a few loud mouths should not be able to change years of law,We should limit judicial activism,train,0.402225161,3.31E-05,1,1
"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",We should prohibit flag burning,train,0.866672906,0.783845894,-1,0.896017197
a flag is mass produced and has no added commercial value other than the material it is made with,We should prohibit flag burning,train,0.603874216,0.133357612,-1,0.745387959
"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",We should prohibit flag burning,train,1,0.944616324,-1,1
a flag is only a piece of cloth and there is no prohibition against burning cloth,We should prohibit flag burning,train,0.610950479,0.0009339,-1,1
a flag is only a symbol and permitting burning it as an expression of anger is free speech,We should prohibit flag burning,train,0.83781112,0.82076391,-1,1
a flag is only really a peace of cloth and doesn't actually hurt anybody.,We should prohibit flag burning,train,0.50805724,0.013245956,-1,1
a flag symbolizes a country and by burning it you are showing disrespect,We should prohibit flag burning,train,0.958760476,0.908157556,1,1
a gender neutral language should be adopted so that conversations and language would be fair for everyone.,We should adopt gender-neutral language,train,1,0.916760962,1,1
a gender neutral language would improve gender equality,We should adopt gender-neutral language,train,0.723600547,0.314975271,1,1
"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",We should adopt gender-neutral language,train,0.696053102,0.23386457,1,1
a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,We should adopt gender-neutral language,train,0.717420971,0.345162727,-1,1
